dkw-h0001	6
dkw-h0002	8
dkw-h0003	9
dkw-h0004	14
dkw-h0005	11
dkw-h0006	1
dkw-h0007	7
dkw-h0008	6
dkw-h0009	5
dkw-h0010	5
dkw-h0011	6
dkw-h0012	6
dkw-h0013	6
dkw-h0014	7
dkw-h0015	8
dkw-h0016	8
dkw-h0017	10
dkw-h0018	10
dkw-h0019	11
dkw-h0020	11
dkw-h0021	12
dkw-h0022	14
dkw-h0023	14
dkw-h0024	15
dkw-h0025	16
dkw-h0026	17
dkw-h0027	17
dkw-h0028	18
dkw-h0029	18
dkw-h0030	19
dkw-h0031	20
dkw-h0032	29
dkw-h0033	11
dkw-h0034	17
dkw-h0035	23
dkw-h0036	12
dkw-h0037	5
dkw-h0038	8
dkw-h0039	8
dkw-h0040	10
dkw-h0041	6
dkw-h0042	7
dkw-h0043	14
dkw-h0044	13
dkw-h0045	4
dkw-h0046	7
dkw-h0047	8
dkw-h0048	5
dkw-h0049	9
dkw-h0050	10
dkw-h0051	11
dkw-h0052	14
dkw-h0053	8
dkw-h0054	14
dkw-h0055	11
dkw-h0056	11
dkw-h0057	4
dkw-h0058	17
dkw-h0059	5
dkw-h0060	10
dkw-h0061	11
dkw-h0062	5
dkw-h0063	16
dkw-h0064	8
dkw-h0065	9
dkw-h0066	9
dkw-h0067	10
dkw-h0068	12
dkw-h0069	13
dkw-h0070	13
dkw-h0071	15
dkw-h0072	16
dkw-h0073	17
dkw-h0074	22
dkw-h0075	23
dkw-h0076	24
dkw-h0077	1
dkw-h0078	7
dkw-h0079	6
dkw-h0080	8
dkw-h0081	8
dkw-h0082	9
dkw-h0083	9
dkw-h0084	9
dkw-h0085	10
dkw-h0086	11
dkw-h0087	11
dkw-h0088	11
dkw-h0089	11
dkw-h0090	11
dkw-h0091	12
dkw-h0092	12
dkw-h0093	13
dkw-h0094	13
dkw-h0095	13
dkw-h0096	13
dkw-h0097	14
dkw-h0098	14
dkw-h0099	15
dkw-h0100	15
dkw-h0101	16
dkw-h0102	16
dkw-h0103	16
dkw-h0104	16
dkw-h0105	17
dkw-h0106	17
dkw-h0107	20
dkw-h0108	21
dkw-h0109	22
dkw-h0110	23
dkw-h0111	5
dkw-h0112	8
dkw-h0113	7
dkw-h0114	9
dkw-h0115	16
dkw-h0116	16
dkw-h0117	6
dkw-h0118	8
dkw-h0119	10
dkw-h0120	11
dkw-h0121	12
dkw-h0122	13
dkw-h0123	14
dkw-h0124	14
dkw-h0125	15
dkw-h0126	15
dkw-h0127	16
dkw-h0128	18
dkw-h0129	19
dkw-h0130	10
dkw-h0131	11
dkw-h0132	11
dkw-h0133	11
dkw-h0134	12
dkw-h0135	13
dkw-h0136	17
dkw-h0137	20
dkw-h0138	13
dkw-h0139	6
dkw-h0140	11
dkw-h0141	9
dkw-h0142	8
dkw-h0143	8
dkw-h0144	8
dkw-h0145	10
dkw-h0146	10
dkw-h0147	11
dkw-h0148	11
dkw-h0149	12
dkw-h0150	12
dkw-h0151	12
dkw-h0152	13
dkw-h0153	13
dkw-h0154	14
dkw-h0155	17
dkw-h0156	19
dkw-h0157	21
dkw-h0158	6
dkw-h0159	9
dkw-h0160	12
dkw-h0161	14
