dkw-00001 koseki-000010 u4e00 _ ##done:koseki 
dkw-00002 koseki-000020 u4e01 _ ##done:koseki 
dkw-00003 koseki-000030 u4e02 _ ##done:alias:u4e02-j 
dkw-00004 koseki-000040 u20000 _ ##done:koseki 
dkw-00005 koseki-000050 u20000-ue0101 _ ##done:koseki 
dkw-00006 koseki-000060 u4e03 _ ##done:koseki 
dkw-00007 koseki-000070 u4e04 _ ##done:koseki 
dkw-00008 koseki-000080 u4e05 _ ##done:koseki 
dkw-00009 koseki-000090 u20001 _ ##done:koseki 
dkw-00010 koseki-000110 u4e07 _ ##done:koseki 
dkw-00011 jmj u4e08-ue0103 _ ##done:alias:u4e08-ue0101 
dkw-00012 koseki-000130 u4e09 _ ##done:koseki 
dkw-00013 koseki-000140 u4e0a _ ##done:koseki 
dkw-00014 koseki-000150 u4e0b _ ##done:koseki 
dkw-00015 koseki-000160 u4e0c _ ##done:koseki 
dkw-00016 koseki-000170 u20003 _ ##done:koseki 
dkw-00017 none ufeff _ ##done:alias:u20004-jv 
dkw-00018 koseki-000180 u20005 _ ##done:koseki 
dkw-00019 koseki-000250 u4e0d _ ##done:koseki 
dkw-00020 koseki-000260 u4e0e-ue0103 _ ##done:koseki 
dkw-00021 koseki-000270 u4e0f _ ##done:original 
dkw-00022 koseki-000280 u4e10 _ ##done:koseki 
dkw-00023 koseki-000290 u4e11 _ ##done:koseki 
dkw-00024 koseki-000300 u20007 _ ##done:koseki 
dkw-00025 koseki-000310 u20008 _ ##done:koseki 
dkw-00026 jmj u2000b-ue0101 _ ##done:alias:u2000b 
dkw-00027 none u20009 _ ##done:alias:u20009 
dkw-00028 koseki-000330 u4e12 _ ##done:koseki 
dkw-00029 koseki-000420 u4e14 _ ##done:original 
dkw-00030 koseki-000430 u4e15 _ ##done:koseki 
dkw-00031 koseki-000440 u4e16 _ ##done:koseki 
dkw-00032 koseki-000450 u2000d _ ##done:koseki 
dkw-00033 koseki-000460 u4e18 _ ##done:koseki 
dkw-00034 koseki-000470 u3400 _ ##done:koseki 
dkw-00035 koseki-000480 u4e19 _ ##done:koseki 
dkw-00036 koseki-000490 u20013 _ ##done:koseki 
dkw-00037 koseki-000500 u20014 _ ##done:alias:u20014 
dkw-00038 koseki-000510 u200e0 _ ##done:koseki 
dkw-00039 koseki-000580 u3401 _ ##done:koseki 
dkw-00040 koseki-000590 u4e1e _ ##done:koseki 
dkw-00041 koseki-000600 u4e1f _ ##done:alias:u4e1f-j 
dkw-00042 koseki-000610 u20018 _ ##done:koseki 
dkw-00043 koseki-000620 u20019 _ ##done:koseki 
dkw-00044 koseki-000630 u2001a _ ##done:koseki 
dkw-00045 koseki-000640 u4e20 _ ##done:koseki 
dkw-00046 koseki-000650 u4e21 _ ##done:koseki 
dkw-00047 koseki-000660 u20022 _ ##done:koseki 
dkw-00048 koseki-000730 u4e23 _ ##done:koseki 
dkw-00049 koseki-000740 u20021 _ ##done:koseki 
dkw-00050 koseki-000750 u20026 _ ##done:koseki 
dkw-00051 koseki-000760 u4e24 _ ##done:koseki 
dkw-00052 koseki-000770 u20a44 _ ##done:original 
dkw-00053 koseki-000820 u4e26-ue0103 _ ##done:koseki 
dkw-00054 koseki-000830 u4e26 _ ##done:koseki 
dkw-00055 koseki-067700 u2160b _ ##done:koseki 
dkw-00056 koseki-000840 u2002c _ ##done:koseki 
dkw-00057 koseki-000850 u2002d _ ##done:koseki 
dkw-00058 koseki-000860 u2002e _ ##done:koseki 
dkw-00059 koseki-000870 u4e3d-ue0100 _ ##done:koseki 
dkw-00060 none u2233d _ ##done:alias:u2233d 
dkw-00061 koseki-000930 u20038 _ ##done:koseki 
dkw-00062 koseki-000980 u20922 _ ##done:koseki 
dkw-00063 koseki-000990 u20041 _ ##done:koseki 
dkw-00064 koseki-001030 u20055 _ ##done:koseki 
dkw-00065 koseki-001040 u24ccf _ ##done:koseki 
dkw-00066 koseki-001050 u20060 _ ##done:original 且[u4e14]且[u4e14]且[u4e14]且[u4e14]
dkw-00067 koseki-152640 u4e28 _ ##done:koseki 
dkw-00068 koseki-152660 u4e29 _ ##done:koseki 
dkw-00069 koseki-152670 u20061 _ ##done:koseki 
dkw-00070 koseki-152680 u4e2a _ ##done:koseki 
dkw-00071 koseki-152690 u4e2b _ ##done:koseki 
dkw-00072 koseki-152700 u3404-ue0101 _ ##done:koseki 
dkw-00073 koseki-152710 u4e2d _ ##done:koseki 
dkw-00074 koseki-152720 u4e2e _ ##done:koseki 
dkw-00075 koseki-152730 u4e2f _ ##done:koseki 
dkw-00076 koseki-152740 u4e30 _ ##done:koseki 
dkw-00077 koseki-152790 u4e31 _ ##done:koseki 
dkw-00078 koseki-152800 u20065 _ ##done:original 
dkw-00079 koseki-152820 u20066 _ ##done:koseki 
dkw-00080 koseki-152880 u4e32 _ ##done:koseki 
dkw-00081 koseki-152890 u20067 _ ##done:koseki 
dkw-00082 koseki-152920 u4e33 _ ##done:koseki 
dkw-00083 koseki-152930 u20069 _ ##done:koseki 
dkw-00084 koseki-153090 u23d92 _ ##done:alias:gt-00119 
dkw-00085 koseki-152990 u2006d _ ##done:koseki 
dkw-00086 koseki-153000 u2006e _ ##done:original 
dkw-00087 koseki-153100 u4e35 _ ##done:koseki 
dkw-00088 koseki-153110 u20070 _ ##done:koseki 
dkw-00089 koseki-153120 u20071 _ ##done:alias:u20071-var-001 
dkw-00090 koseki-153320 u20074 _ ##done:koseki 
dkw-00091 koseki-001060 u4e36 _ ##done:koseki 
dkw-00092 koseki-001070 u303b _ ##done:koseki 
dkw-00093 koseki-001080 u2007c _ ##done:koseki 
dkw-00094 koseki-001090 u4e38 _ ##done:koseki 
dkw-00095 koseki-001100 u4e38-ue0102 _ ##done:koseki 
dkw-00096 koseki-001110 u2007d _ ##done:original 
dkw-00097 jmj u3005 _ ##done:alias:u206a4-jv 
dkw-00098 koseki-001120 u20000-ue0102 _ ##done:koseki 
dkw-00099 koseki-001130 u4e39 _ ##done:koseki 
dkw-00100 koseki-001170 u4e3b-ue0103 _ ##done:alias:aj1-13812 
dkw-00101 koseki-001150 u4e3c _ ##done:koseki 
dkw-00102 koseki-001160 u2007f _ ##done:koseki 
dkw-00103 koseki-001180 u20082 _ ##done:koseki 
dkw-00104 koseki-001200 u4e3d _ ##done:koseki 
dkw-00105 koseki-001210 u20084 _ ##done:koseki 曷[u66f7]
dkw-00106 koseki-001220 u4e3f _ ##done:alias:u4e3f-k 
dkw-00107 koseki-001230 u4e40 _ ##done:koseki 
dkw-00108 koseki-001240 u20086 _ ##done:koseki 
dkw-00109 koseki-001250 u4e41 _ ##done:koseki 
dkw-00110 koseki-001260 u4e41-ue0102 _ ##done:koseki 
dkw-00111 koseki-001270 u4e42 _ ##done:koseki 
dkw-00112 koseki-001280 u20087 _ ##done:alias:u20087-jv 
dkw-00113 koseki-001290 u4e43 _ ##done:koseki 
dkw-00114 koseki-001300 u20088 _ ##done:koseki 
dkw-00115 koseki-001310 u3405 _ ##done:koseki 
dkw-00116 koseki-001370 u4e44-ue0102 _ ##done:alias:u4e44-j 
dkw-00117 koseki-001330 u2cf02 _ ##done:original 
dkw-00118 jmj u4e45-ue0102 _ ##done:alias:u4e45-t 
dkw-00119 koseki-001400 u4e46 _ ##done:koseki 
dkw-00120 koseki-001410 u4e47 _ ##done:original 
dkw-00121 koseki-001420 u4e48 _ ##done:koseki 
dkw-00122 koseki-001430 u2008d _ ##done:koseki 
dkw-00123 none u51e2 _ ##done:alias:u51e2 
dkw-00124 koseki-001440 u4e49 _ ##done:koseki 
dkw-00125 koseki-001470 u4e4b _ ##done:koseki 
dkw-00126 koseki-001480 u20090 _ ##done:koseki 
dkw-00127 koseki-001490 u2009c _ ##done:koseki 
dkw-00128 koseki-001500 u2008f _ ##done:alias:u2008f 
dkw-00129 none u5301 _ ##done:alias:u5301 
dkw-00130 koseki-001540 u4e4d _ ##done:koseki 
dkw-00131 koseki-001550 u4e4e _ ##done:koseki 
dkw-00132 koseki-001560 u20094 _ ##done:koseki 
dkw-00133 koseki-001570 u4e4f _ ##done:koseki 
dkw-00134 koseki-001580 u20095 _ ##done:koseki 
dkw-00135 koseki-001590 u20096 _ ##done:alias:u20096 
dkw-00136 koseki-001600 u2009f _ ##done:alias:u2009f-jv 
dkw-00137 koseki-001610 u2009e _ ##done:koseki 
dkw-00138 koseki-001650 u200a2-ue0102 _ ##done:koseki 
dkw-00139 koseki-001660 u4e51 _ ##done:koseki 
dkw-00140 koseki-001670 u200a3 _ ##done:koseki 
dkw-00141 koseki-001680 u200a4 _ ##done:koseki 
dkw-00142 koseki-001690 u200a5 _ ##done:koseki 
dkw-00143 koseki-001700 u200a7 _ ##done:alias:u200a7 
dkw-00144 koseki-001710 u4e22 _ ##done:koseki 
dkw-00145 koseki-001720 u4e52 _ ##done:koseki 
dkw-00146 koseki-001730 u4e53 _ ##done:koseki 
dkw-00147 koseki-001750 u200af _ ##done:koseki 
dkw-00148 koseki-001760 u4e55-ue0102 _ ##done:alias:u200b0-ue0100 
dkw-00149 koseki-001790 u4e56 _ ##done:koseki 
dkw-00150 koseki-001800 u200b2 _ ##done:koseki 
dkw-00151 none nil _ ##done:mtnest 
dkw-00152 koseki-001810 u200b7 _ ##done:alias:u200b7 
dkw-00153 koseki-001820 u4e57 _ ##done:koseki 
dkw-00154 koseki-001850 u4e58 _ ##done:koseki 
dkw-00155 koseki-001860 u200b9 _ ##done:alias:kx-0083012 
dkw-00156 koseki-001870 u200ba _ ##done:koseki 
dkw-00157 koseki-001880 u21d18 _ ##done:koseki 
dkw-00158 koseki-001900 u200bf _ ##done:koseki 
dkw-00159 koseki-001910 u20a83 _ ##done:koseki 眉[u7709]
dkw-00160 koseki-001930 u200c4 _ ##done:koseki 
dkw-00161 koseki-001950 u4e59 _ ##done:koseki 
dkw-00162 koseki-001990 u200c9 _ ##done:koseki 
dkw-00163 koseki-001960 u4e5a _ ##done:koseki 
dkw-00164 koseki-001970 u200d1 _ ##done:alias:u200d1-jv 
dkw-00165 koseki-001980 u200cb _ ##done:koseki 
dkw-00166 koseki-002000 u4e5c _ ##done:alias:u4e5c-j 
dkw-00167 koseki-002010 u4e5d _ ##done:koseki 
dkw-00168 koseki-002020 u200cf _ ##done:koseki 
dkw-00169 koseki-002030 u200d0 _ ##done:koseki 
dkw-00170 koseki-002040 u4e5e _ ##done:koseki 
dkw-00171 koseki-002050 u4e5f _ ##done:koseki 
dkw-00172 koseki-002060 u200d2 _ ##done:alias:u200d2 
dkw-00173 koseki-002090 u200d5 _ ##done:koseki 
dkw-00174 koseki-002100 u200d6 _ ##done:koseki 
dkw-00175 koseki-002110 u4e62 _ ##done:koseki 
dkw-00176 koseki-002120 u4e63 _ ##done:koseki 
dkw-00177 koseki-002150 u340c _ ##done:koseki 
dkw-00178 koseki-002160 u200de _ ##done:koseki 
dkw-00179 koseki-002170 u200df _ ##done:koseki 
dkw-00180 koseki-002180 u200e1 _ ##done:koseki 
dkw-00181 koseki-002210 u4e68 _ ##done:koseki 
dkw-00182 koseki-002220 u4e69 _ ##done:koseki 
dkw-00183 koseki-002230 u200e4 _ ##done:alias:u200e4-jv 
dkw-00184 koseki-002240 u200e5 _ ##done:koseki 
dkw-00185 koseki-002250 u4e6a _ ##done:koseki 
